Title,Authors,Year,arXiv ID,BibTeX Key,Summary,Main Research Question,Themes
"On a Test of Whether one of Two Random Variables is Stochastically Larger than the Other","H. B. Mann; D. R. Whitney",1947,,mann1947test,"Classic statistics paper introducing the Mann-Whitney U test, a non-parametric test of whether one of two random variables is stochastically larger than the other. Cited as the methodological source for distribution comparison at α = 0.05.","How can one test whether one random variable is stochastically larger than another without assuming normality?","Statistics; Methodology"
"Designite: A Software Design Quality Assessment Tool","Tushar Sharma; Pratibha Mishra; Rohit Tiwari",2016,,Sharma2016,"Tool paper (BRIDGE '16) presenting Designite, a software design quality assessment tool. Its Python variant DPy detects architecture, design, implementation, and ML-specific smells and computes object-oriented metrics (size, complexity, coupling, cohesion, inheritance depth); used in this project for before/after code quality analysis.","How can automated static analysis assess software design quality through smells and object-oriented metrics?","Tooling; Quality; Smells; Metrics"
"An Exploratory Study of the Pull-Based Software Development Model","Georgios Gousios; Martin Pinzger; Arie van Deursen",2014,,gousios2014exploratory,"Foundational ICSE 2014 study of pull-based development on GitHub, establishing canonical PR metrics (churn, commits, files changed, team size, project age, test coverage density) and models of PR acceptance and latency. Source of the [G14] metric family used throughout the codebook.","What factors affect the decision to accept a pull request and the time to process it in pull-based development?","PullRequests; Metrics"
"Work Practices and Challenges in Pull-Based Development: The Integrator's Perspective","Georgios Gousios; Andy Zaidman; Margaret-Anne Storey; Arie van Deursen",2015,,gousios2015integrator,"ICSE 2015 survey of integrators in pull-based projects, documenting how maintainers evaluate contributions, prioritize work, and struggle with review workload and quality assessment. Source of the rework metric [G15].","How do integrators of pull-based software projects evaluate contributions and what challenges do they face?","PullRequests; Review"
"Influence of Social and Technical Factors for Evaluating Contribution in GitHub","Jason Tsay; Laura Dabbish; James Herbsleb",2014,,tsay2014influence,"ICSE 2014 study showing PR acceptance depends on both technical factors (test inclusion) and social factors (follower count, social connection between submitter and core team, prior interaction). Source of [T14] metrics: num_participants, social_strength, followers.","How do social and technical factors jointly influence the evaluation of contributions on GitHub?","PullRequests; Social; Metrics"
"Wait for It: Determinants of Pull Request Evaluation Latency on GitHub","Yue Yu; Huaimin Wang; Vladimir Filkov; Premkumar Devanbu; Bogdan Vasilescu",2015,,yu2015waitforit,"MSR 2015 study of what determines PR evaluation latency: description length, @-mentions, CI latency, and first response time are key predictors. Source of [Y15] metrics.","What factors determine how long pull requests wait before being evaluated on GitHub?","PullRequests; Metrics; CI"
"Quality and Productivity Outcomes Relating to Continuous Integration in GitHub","Bogdan Vasilescu; Yue Yu; Huaimin Wang; Premkumar Devanbu; Vladimir Filkov",2015,,vasilescu2015quality,"ESEC/FSE 2015 study showing CI adoption changes team productivity and quality outcomes in GitHub projects: teams using CI merge more external PRs while maintaining quality. Source of [V15] metrics: ci_exists, ci_test_passed.","How does continuous integration adoption affect quality and productivity outcomes in GitHub projects?","CI; PullRequests; Quality"
"Investigating Technical and Non-Technical Factors Influencing Modern Code Review","Olga Baysal; Oleksii Kononenko; Reid Holmes; Michael W. Godfrey",2016,,baysal2016investigating,"EMSE study showing non-technical factors — including organizational affiliation of author and reviewer — significantly influence code review outcomes and timeliness. Source of [B16] affiliation metrics.","What technical and non-technical factors influence the outcome and speed of modern code review?","Review; Social; Metrics"
"Gender Differences and Bias in Open Source: Pull Request Acceptance of Women Versus Men","Josh Terrell; Andrew Kofink; Justin Middleton; Clarissa Rainear; Emerson Murphy-Hill; Chris Parnin; Jon Stallings",2017,,terrell2017gender,"PeerJ CS study of gender bias in open source: women's PRs are accepted at higher rates overall, but at lower rates than men's when gender is identifiable and they are outsiders. Source of the contrib_gender inference methodology [TR17].","Does gender bias affect pull request acceptance rates in open source software development?","Bias; Social; PullRequests"
"When Do Changes Induce Fixes?","Jacek Śliwerski; Thomas Zimmermann; Andreas Zeller",2005,,sliwerski2005changes,"MSR 2005 paper introducing the SZZ algorithm for linking fixes to fix-inducing changes; finds changes made on Fridays are more error-prone (the 'Friday effect'). Source of [S05] friday_effect metric.","How can fix-inducing changes be identified, and when are code changes most likely to introduce defects?","Defects; Metrics"
"Pull Request Latency Explained: An Empirical Overview","Xunhui Zhang; Yue Yu; Georgios Gousios; Ayushi Rastogi",2022,,zhang2022latency,"EMSE 2022 large-scale empirical overview of PR latency, synthesizing and validating predictors across many projects. Source of the extensive [Z22] metric family (bug_fix, hash_tag, reopen_or_not, first_pr, integrator_availability, etc.).","Which factors best explain pull request latency across a large and diverse set of projects?","PullRequests; Metrics"
"A Complexity Measure","Thomas J. McCabe",1976,,mccabe1976complexity,"IEEE TSE classic introducing cyclomatic complexity, a graph-theoretic measure of the number of linearly independent paths through a program's control flow. Source of the cyclomatic_complexity metric [M76].","How can program control-flow complexity be quantified to guide testing and modularization?","Complexity; Metrics"
"Elements of Software Science","Maurice H. Halstead",1977,,halstead1977elements,"Book establishing Halstead software science metrics — vocabulary, length, and volume (V = N·log2(n)) — computed from operator and operand counts. Source of the halstead_volume metric [HA77].","Can software properties be measured quantitatively from counts of operators and operands in code?","Complexity; Metrics"
"A Critique of Cyclomatic Complexity as a Software Metric","Martin Shepperd",1988,,shepperd1988critique,"Software Engineering Journal critique showing cyclomatic complexity correlates strongly with lines of code and questioning its independent value as a complexity metric. Cited [SH88] as a caveat on complexity metrics.","Is cyclomatic complexity a valid and useful software metric independent of program size?","Complexity; Metrics; Methodology"
"The Effect of Nesting Depth on Program Comprehension","H. E. Dunsmore",1984,,dunsmore1984nesting,"JSS study of how control-structure nesting depth affects programmer comprehension, motivating nesting depth as a complexity indicator. Source of the nesting_depth metric [D84].","How does the nesting depth of control structures affect program comprehension?","Complexity; Comprehension"
"Refactoring: Improving the Design of Existing Code","Martin Fowler",1999,,fowler1999refactoring,"Classic book cataloguing refactorings and code smells, including Large Class and Long Method, which underpin the design-smell detection metrics [F99].","How can existing code be systematically restructured to improve design without changing behavior?","Refactoring; Smells; Quality"
"Use of Relative Code Churn Measures to Predict System Defect Density","Nachiappan Nagappan; Thomas Ball",2005,,nagappan2005churn,"ICSE 2005 study showing relative code churn measures are strong predictors of system defect density in large systems. Source of the codechurn metric [N05].","Can relative code churn measures predict the defect density of a software system?","Defects; Metrics"
"Using Static Analysis to Find Bugs","Nathaniel Ayewah; William Pugh; David Hovemeyer; J. David Morgenthaler; John Penix",2008,,ayewah2008staticanalysis,"IEEE Software paper on FindBugs-style static analysis for defect detection, including patterns such as unused variables. Source of the unused_vars metric [AY08].","How effective is static analysis at finding real bugs in production software?","Tooling; Defects; Quality"
"Comparison and Evaluation of Code Clone Detection Techniques and Tools","Chanchal K. Roy; James R. Cordy; Rainer Koschke",2009,,roy2009clones,"Science of Computer Programming survey comparing code clone detection techniques and tools across clone types. Source of the duplicate_code metric [RC09].","How do code clone detection techniques and tools compare in capability and accuracy?","Tooling; Quality"
"Tracking Design Smells: Lessons from a Study of God Classes","Stéphane Vaucher; Foutse Khomh; Naouel Moha; Yann-Gaël Guéhéneuc",2009,,vaucher2009godclasses,"WCRE 2009 study tracking God Classes over software evolution, distinguishing classes born as God Classes from those that degrade into them. Source of the god_object metric [VA09].","How do God Classes emerge and evolve over the lifetime of software systems?","Smells; Quality"
"On the Naturalness of Software","Abram Hindle; Earl T. Barr; Zhendong Su; Mark Gabel; Premkumar Devanbu",2012,,hindle2012naturalness,"ICSE 2012 landmark showing software is highly repetitive and predictable, capturable by n-gram language models — foundational for statistical and ML models of code. Source of the ngrams textual feature [H12].","Is software 'natural' — statistically repetitive and predictable enough to be modeled with language models?","NLP; Metrics"
